what,kind,bundleId,bundleVersion,description,time
ws,sysinfo,,,"win32",1315487560387
locale,sysinfo,,,"fr_FR",1315487560387
processors,sysinfo,,,"4",1315487560388
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1315487560388
java.runtime.version,sysinfo,,,"1.6.0_23-b05",1315487560388
java.specification.name,sysinfo,,,"Java Platform API Specification",1315487560388
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1315487560388
java.specification.version,sysinfo,,,"1.6",1315487560388
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1315487560388
java.version,sysinfo,,,"1.6.0_23",1315487560388
java.vm.info,sysinfo,,,"mixed mode",1315487560388
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1315487560388
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1315487560388
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1315487560388
java.vm.specification.version,sysinfo,,,"1.0",1315487560388
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1315487560388
java.vm.version,sysinfo,,,"19.0-b09",1315487560388
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1315487560397
started,bundle,org.eclipse.team.cvs.ui,3.3.301.R36x_v20100825-0800,"org.eclipse.team.cvs.ui",1315487560418
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1315487560608
started,bundle,org.eclipse.update.core,3.2.402.R36x_v20100629,"org.eclipse.update.core",1315487560677
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1315487618935
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1315487619003
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1315487620616
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1315487620893
closed,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1315487620901
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1315487625099
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1315487628157
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1315487629499
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1315487633469
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1315487641128
opened,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1315487649557
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1315487649910
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1315487655485
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1315487659234
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1315487659431
closed,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1315487659441
started,bundle,org.eclipse.compare,3.5.100.I20100526-0800,"org.eclipse.compare",1315487662448
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1315487664911
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1315487669595
opened,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1315487673903
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1315487674120
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1315487706894
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1315487714901
executed,command,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.edit.text.java.extract.method",1315487714936
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1315487750197
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1315487818484
executed,command,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.edit.text.java.extract.method",1315487818500
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1315487831310
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1315487833662
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1315487845412
